shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;Combo Desayuno #3;Available;4325;CRC;Promos Desayuno;7;52;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/41a53a05-e298-421f-a0d9-6950d654f2ff.png;undefined
Delimart - Guachipelin 🛒;4X3 Yogurt Dp 125 ml;Available;1575;CRC;Promos Desayuno;8;53;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/6130685d-136d-45a1-ad2f-d4168b9c2ea8.png;undefined
Delimart - Guachipelin 🛒;4X3 Yogurt Dp 200 ml;Available;2085;CRC;Promos Desayuno;9;54;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/433a089f-73dc-477e-99c4-7d09a260938e.png;undefined
Delimart - Guachipelin 🛒;Combo Personal Hot Dog Clásico+ Nachos Chili y Queso + Pepsi 600 ml;Available;3990;CRC;Promos Almuerzo/Cena;1;55;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/dbb551b4-9e3a-408e-91fd-2b354d1d8745.png;undefined
Delimart - Guachipelin 🛒;Combo Tacos: Tacos de Carne + Salchi Papas En Gajo + Pepsi 600 ml;Sold out;3990;CRC;Promos Almuerzo/Cena;2;56;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/1c6cb5ea-86b7-43b0-a592-d18d77b01e60.png;Sold out
Delimart - Guachipelin 🛒;Combo Quesadilla: Quesadilla + Salchi Papas En Gajo + Pepsi 600 ml;Sold out;3900;CRC;Promos Almuerzo/Cena;3;57;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/acbb6a67-0c5f-4a58-86d8-9bd566ca130f.png;Sold out
Delimart - Guachipelin 🛒;Pack Familiar: 6 Deli Dogs+1 Deli Nachos + 1 Pepsi 2.5 lt;Sold out;10990;CRC;Promos Almuerzo/Cena;4;58;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/b6f7adc7-0008-4b2e-bd0c-587469dcd7ba.png;Sold out
Delimart - Guachipelin 🛒;Packs Abarrotes;Sold out;15990;CRC;Promos Canasta Basíca;1;59;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/18e6e8bb-03e6-4e77-936b-d34861a20aea.png;Sold out
Delimart - Guachipelin 🛒;Packs Cuidado Personal;Available;14990;CRC;Promos Canasta Basíca;2;60;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/1a2a57ff-8234-47bd-b967-9525b33b1166.png;undefined
Delimart - Guachipelin 🛒;Packs Limpieza;Sold out;12990;CRC;Promos Canasta Basíca;3;61;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/de9628a5-b85f-435e-bcfa-c6b7f534c17c.png;Sold out
Delimart - Guachipelin 🛒;Pack Spaguetti;Sold out;3525;CRC;Promos Canasta Basíca;4;62;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/dc7021f2-249f-4bf2-a48a-47cf4a45cd82.png;Sold out
Delimart - Guachipelin 🛒;2X Sardimar Lomo 140 gr;Available;3900;CRC;Promos Canasta Basíca;5;63;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/11dbc981-e9d3-4846-afc0-eef73e650a61.png;undefined
Delimart - Guachipelin 🛒;2X Crema Dental Colgate Max;Available;3590;CRC;Promos Canasta Basíca;6;64;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/23da4396-7a44-46b4-af60-2aea8a56422f.png;undefined
Delimart - Guachipelin 🛒;Pack Galletas Pozuelo ₡6955;Sold out;6955;CRC;Promos Canasta Basíca;7;65;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/f57f33f1-c04b-44d9-93eb-e1b9f0be2e2c.png;Sold out
Delimart - Guachipelin 🛒;Mascarilla Reutilizable 3 Capas 1 Ud;Available;2150;CRC;Mascarillas & Alcohol Gel/Spray;1;66;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/e422cfa8-a811-4977-9865-ddb9f9f6421d.jpeg;undefined
